case,label,dataset,eval_split,revised_category,peak,delta_max_3,delta_median_3,ratio_3,delta_max_5,delta_median_5,ratio_5,delta_max_7,delta_median_7,ratio_7,delta_max_10,delta_median_10,ratio_10
LVP_0030,1,LVP,DEV_POS,,0.5473584055420595,0.5473584055420595,0.5473584055420595,10.94716811084119,0.5473584055420595,0.5473584055420595,10.94716811084119,0.5357745448596511,0.5473584055420595,8.888017079098368,0.5110309415470021,0.5473584055420595,6.340489807199687
LVP_0053,1,LVP,HELDOUT_POS,,0.2290790929462911,0.0,0.1026060108956724,0.6012627605608011,0.0,0.0670260993176539,0.6012627605608011,0.0,0.002194890081367279,0.5249590541565915,0.0,0.02258852614180515,0.5200336261808509
LVP_0054,1,LVP,HELDOUT_POS,,0.1846085493772506,0.0686398924302868,0.1369686938530407,1.1123097142145537,0.0,0.051803774266159994,0.7151164425101392,0.0,0.0492462032844162,0.7151164425101392,0.0,0.0,0.4748036652357563
LVP_0055,1,LVP,HELDOUT_POS,,0.2521673169378085,0.23916886519514974,0.23920393076550914,4.002754194148803,0.0,0.0902014629064133,0.3415323526545146,0.0,0.0018611278211041887,0.33771942726896426,0.0,0.014633030022834198,0.33771942726896426
LVP_0056,1,LVP,HELDOUT_POS,,0.1449701366501965,0.0736879270440922,0.07620238450057411,1.1953124627348475,0.0675280224627381,0.0736879270440922,1.1375371287152032,0.004936755592675618,0.0697778063547928,0.7628666913331177,0.0,0.0489829702795066,0.6543911994334738
Cosmos3_seed102_0006,0,Cosmos3_seed102,HELDOUT_POS,DEFORMATION,0.1850270582362813,0.0023926561163087057,0.004763328379508103,0.7953555301801856,0.0023926561163087057,0.023910053693592198,0.7953555301801856,0.0023926561163087057,0.022519923278886994,0.7953555301801856,0.0,0.0,0.714211029645527
Cosmos3_seed102_0008,1,Cosmos3_seed102,HELDOUT_POS,OBJECT_DUPLICATION,0.2078216214143199,0.02289944498755389,0.03252823835555241,0.8846402863082007,0.0,0.0,0.6321983147297426,0.0,0.0,0.5223806445307455,0.0,0.0,0.5223806445307455
Cosmos3_seed102_0010,1,Cosmos3_seed102,HELDOUT_POS,OBJECT_DUPLICATION,0.2165653647376557,0.018023877422752688,0.027119917847888808,0.8713449294815983,0.018023877422752688,0.027119917847888808,0.8713449294815983,0.018023877422752688,0.029106780952002503,0.8713449294815983,0.018023877422752688,0.028310171436007253,0.8713449294815983
Cosmos3_seed102_0062,0,Cosmos3_seed102,HELDOUT_POS,SPONTANEOUS_OBJECT_APPEARANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed102_0064,0,Cosmos3_seed102,HELDOUT_POS,SPONTANEOUS_OBJECT_APPEARANCE,0.1319145749313666,0.015157118793237903,0.0266436588247716,0.7910565319615993,0.015157118793237903,0.031353383438718005,0.7910565319615993,0.015157118793237903,0.0608626788910033,0.7910565319615993,0.015157118793237903,0.036648755249795245,0.7910565319615993
Cosmos3_seed103_0006,0,Cosmos3_seed103,HELDOUT_POS,DEFORMATION,0.1826344021199726,0.0,0.00197865260453009,0.7650496446615935,0.0,0.0130621868605027,0.7650496446615935,0.0,0.0130621868605027,0.7650496446615935,0.0,0.013220734481963231,0.7650496446615935
Cosmos3_seed103_0010,1,Cosmos3_seed103,HELDOUT_POS,OBJECT_DUPLICATION,0.2025181691124737,0.003976681797570686,0.005156526600300998,0.8148264151001978,0.003976681797570686,0.005156526600300998,0.8148264151001978,0.003976681797570686,0.006655724931205198,0.8148264151001978,0.003976681797570686,0.009758447393321351,0.8148264151001978
Cosmos3_seed103_0012,1,Cosmos3_seed103,HELDOUT_POS,PART_DUPLICATION,0.2157969382588155,0.014764644519064396,0.022747675356408592,0.8596381566848741,0.0,0.0007079758948055903,0.7289671584122782,0.0,0.0010802214504421759,0.7289671584122782,0.0,0.005422663417136736,0.7289671584122782
Cosmos3_seed103_0013,1,Cosmos3_seed103,HELDOUT_POS,OBJECT_DUPLICATION,0.0325165545683884,0.0325165545683884,0.0325165545683884,0.650331091367768,0.0325165545683884,0.0325165545683884,0.650331091367768,0.0325165545683884,0.0325165545683884,0.650331091367768,0.0325165545683884,0.0325165545683884,0.650331091367768
Cosmos3_seed103_0058,0,Cosmos3_seed103,HELDOUT_POS,DEFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed103_0062,0,Cosmos3_seed103,HELDOUT_POS,DEFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed103_0064,0,Cosmos3_seed103,HELDOUT_POS,SPONTANEOUS_OBJECT_APPEARANCE,0.1226898150925912,0.02037256652239551,0.02173788720212741,0.8054886511165502,0.01428776657327141,0.02173788720212741,0.7745468965802366,0.010430822940752302,0.02037256652239551,0.7561356906357485,0.010430822940752302,0.021055226862261453,0.7561356906357485
Cosmos2.5_0036,0,Cosmos2.5,DEV_NEG,,0.0659693501369624,0.0033096816013449964,0.019954818641472694,0.5855631477923811,0.0033096816013449964,0.0476826751736544,0.5855631477923811,0.0033096816013449964,0.0476826751736544,0.5855631477923811,0.0033096816013449964,0.04802221941885565,0.5855631477923811
Cosmos2.5_0057,0,Cosmos2.5,DEV_NEG,,0.1655547676459515,0.05937529081516181,0.0872315302503982,1.0600289551828843,0.05937529081516181,0.0934062168744615,1.0600289551828843,0.0420937384523017,0.0934062168744615,0.9544205313178913,0.0420937384523017,0.0833556743565545,0.9544205313178913
Cosmos3_seed101_0039,0,Cosmos3_seed101,DEV_NEG,,0.1955542404771551,0.1312737101418507,0.13445686409645272,1.711177222431414,0.12081234431594481,0.1312737101418507,1.567670898832822,0.12081234431594481,0.1301799379666549,1.567670898832822,0.12081234431594481,0.13145697241999776,1.567670898832822
Cosmos3_seed101_0049,0,Cosmos3_seed101,DEV_NEG,,0.151230270019045,0.151230270019045,0.151230270019045,3.0246054003808998,0.151230270019045,0.151230270019045,3.0246054003808998,0.151230270019045,0.151230270019045,3.0246054003808998,0.151230270019045,0.151230270019045,3.0246054003808998
LVP_0062,0,LVP,DEV_NEG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVP_0043,0,LVP,DEV_NEG,,0.0120119612078165,0.0030938814132452,0.003136244603070699,0.20387563969665012,0.0030938814132452,0.0036354818392681006,0.20387563969665012,0.0030938814132452,0.0044441428028365,0.20387563969665012,0.0030938814132452,0.0120119612078165,0.20387563969665012
Cosmos3_seed102_0000,0,Cosmos3_seed102,HELDOUT_NEG,,0.1135718018150908,0.0363093669189085,0.078208431216055,0.8924220403903163,0.0004352609401223062,0.0363093669189085,0.6961763514535642,0.0004352609401223062,0.0363093669189085,0.6961763514535642,0.0004352609401223062,0.03592497282854401,0.6961763514535642
Cosmos3_seed102_0001,0,Cosmos3_seed102,HELDOUT_NEG,,0.0939447030223725,0.0526385385881374,0.0939447030223725,1.028897704820772,0.0469034015352453,0.0526385385881374,0.9680898914451856,0.0469034015352453,0.0526385385881374,0.9680898914451856,0.0469034015352453,0.0939447030223725,0.9680898914451856
Cosmos3_seed102_0002,0,Cosmos3_seed102,HELDOUT_NEG,,0.1262948054908297,0.08586724976910899,0.0893140891137742,1.3966407084969308,0.08586724976910899,0.09486469211641249,1.3966407084969308,0.08586724976910899,0.09921478176152398,1.3966407084969308,0.05722311276063419,0.09703973693896824,1.0606618802085985
Cosmos3_seed102_0003,0,Cosmos3_seed102,HELDOUT_NEG,,0.1379295607372356,0.05390676698415271,0.13026492524816471,1.0291500189986365,0.05390676698415271,0.1091421317034395,1.0291500189986365,0.026555301450450416,0.10816764974819562,0.8547184745995643,0.026555301450450416,0.0542993386971628,0.8547184745995643
Cosmos3_seed102_0004,0,Cosmos3_seed102,HELDOUT_NEG,,0.2016920451563711,0.1944531767322495,0.195042727930243,3.5236902948866478,0.1944531767322495,0.195141259641357,3.5236902948866478,0.1935813509350224,0.195141259641357,3.470824911987947,0.1933224785819545,0.19474795233124625,3.4554316057706136
Cosmos3_seed102_0007,0,Cosmos3_seed102,HELDOUT_NEG,,0.1315933976021653,0.047997283273830696,0.0505302093532289,0.9850091693441974,0.047622126875915494,0.047997283273830696,0.9822508728088177,0.047622126875915494,0.0505302093532289,0.9822508728088177,0.047622126875915494,0.050793638530384544,0.9822508728088177
Cosmos3_seed102_0009,0,Cosmos3_seed102,HELDOUT_NEG,,0.1997410180414081,0.07589103238775169,0.080706870538774,1.1489274347098986,0.07589103238775169,0.080706870538774,1.1489274347098986,0.07589103238775169,0.08107992536376059,1.1489274347098986,0.07589103238775169,0.0816116427333366,1.1489274347098986
Cosmos3_seed102_0011,0,Cosmos3_seed102,HELDOUT_NEG,,0.1297700725861326,0.010972662495940505,0.012036924724066894,0.7687918464909719,0.004747511416540201,0.011343988373164304,0.7414476837668299,0.0,0.0,0.6044851723081918,0.0,0.0,0.6044851723081918
Cosmos3_seed103_0000,0,Cosmos3_seed103,HELDOUT_NEG,,0.1113753841027027,0.013084799835818006,0.1113753841027027,0.751061739039721,0.005445458386469301,0.1113753841027027,0.7142656138077524,0.005445458386469301,0.1113753841027027,0.7142656138077524,0.0,0.0986758843590232,0.6114680061503296
Cosmos3_seed103_0001,0,Cosmos3_seed103,HELDOUT_NEG,,0.1038082721272129,0.1038082721272129,0.1038082721272129,2.0761654425442577,0.1038082721272129,0.1038082721272129,2.0761654425442577,0.1038082721272129,0.1038082721272129,2.0761654425442577,0.1038082721272129,0.1038082721272129,2.0761654425442577
Cosmos3_seed103_0002,0,Cosmos3_seed103,HELDOUT_NEG,,0.0989432389666862,0.058515683244965505,0.0679051883251696,1.0941713305971847,0.05751958701928331,0.0679051883251696,1.0822499086298742,0.05751958701928331,0.0989432389666862,1.0822499086298742,0.05751958701928331,0.0989432389666862,1.0822499086298742
Cosmos3_seed103_0003,0,Cosmos3_seed103,HELDOUT_NEG,,0.1186423277134147,0.034619533960331794,0.0434589689157036,0.8852399236804119,0.034619533960331794,0.04360685512578309,0.8852399236804119,0.01704028243517619,0.04360685512578309,0.7825905481398214,0.01704028243517619,0.043532912020743345,0.7825905481398214
Cosmos3_seed103_0004,0,Cosmos3_seed103,HELDOUT_NEG,,0.1895878238543818,0.0,0.0492096951740002,0.5340406263908275,0.0,0.0492096951740002,0.5340406263908275,0.0,0.0492096951740002,0.5340406263908275,0.0,0.05023761071876855,0.5340406263908275
Cosmos3_seed103_0007,0,Cosmos3_seed103,HELDOUT_NEG,,0.1725703476938746,0.08727673191157621,0.08831028703821661,1.2755246926917703,0.08727673191157621,0.1013893280614187,1.2755246926917703,0.087179226963129,0.1013893280614187,1.2746060950117097,0.087179226963129,0.09763969091635036,1.2746060950117097
Cosmos3_seed103_0008,0,Cosmos3_seed103,HELDOUT_NEG,,0.2101341945484606,0.014577659839500406,0.02728529777332861,0.8557467012536113,0.0,0.006233942345239996,0.7712436742568519,0.0,0.00916674727801059,0.7712436742568519,0.0,0.007700344811625293,0.7712436742568519
Cosmos3_seed103_0009,0,Cosmos3_seed103,HELDOUT_NEG,,0.1295689219219195,0.004387829781933278,0.0054177950981611905,0.739628462975797,0.0006029333088093947,0.004387829781933278,0.7239862888250934,0.0,0.0006170006935268812,0.7005560399154864,0.0,0.007010005848645695,0.7005560399154864
Cosmos3_seed103_0011,0,Cosmos3_seed103,HELDOUT_NEG,,0.1214126674888272,0.0025955933439757994,0.002615257398635107,0.7191966103182819,0.0,0.0,0.6902163599764809,0.0,0.0,0.6902163599764809,0.0,0.0035297447193772535,0.6902163599764809
