case,label,original_label,eval_split,dataset,object_prompt,revised_category,revised_confidence,annotation_source,identity_dup_score,pretrack_score,persistent_score,peak,mean2,mean3,mean5,mean7,floor2,floor3,floor5,floor7,base_peak,size_score_peak,strict_size_score_peak,mask_size_score_peak,base_mean3,size_score_mean3,strict_size_score_mean3,mask_size_score_mean3
Cosmos3_seed101_0054,1,1,HELDOUT_POS,Cosmos3_seed101,yellow cube,,,ORIGINAL,0.2845200880226945,0.4342529037633879,0.2845200880226945,0.4342529037633879,0.4137942021142284,0.4135092812904875,0.3936789058483178,0.3868908262062072,0.3983685522514372,0.3983685522514372,0.3611872178326138,0.316178927454865,0.4342529037633879,0.3432124597482518,0.3305742197035565,0.3003331594353969,0.4135092812904875,0.3337678933507115,0.3229898768272265,0.2934518482732284
Cosmos3_seed101_0055,1,1,HELDOUT_POS,Cosmos3_seed101,yellow cube,,,ORIGINAL,0.4646017669977897,0.4646017669977897,0.4646017669977897,0.4646017669977897,0.461803741508603,0.4568852709702713,0.4335384287608691,0.3709813356636843,0.4590057160194164,0.4470483298936077,0.3882259340489017,0.2123684249974682,0.4646017669977897,0.3666784335845693,0.3493647084153684,0.3428310691646476,0.4568852709702713,0.3599376202255713,0.34251399975163,0.3192000837465658
Cosmos3_seed101_0065,1,1,HELDOUT_POS,Cosmos3_seed101,brown cup,,,ORIGINAL,0.5079523440489291,0.5079523440489291,0.5079523440489291,0.5079523440489291,0.4944978768231452,0.493687784475721,0.4917916004807383,0.4510643601533356,0.4935431032654112,0.4824419985956493,0.4795679061128227,0.3049977283464731,0.5079523440489291,0.4910087985251806,0.4842964822350464,0.4767101863115885,0.493687784475721,0.4767334326845809,0.4696822769663094,0.4629445204678256
LVP_0004,1,1,DEV_POS,LVP,yellow cube,,,ORIGINAL,0.1776348315153656,0.1776348315153656,0.1776348315153656,0.1776348315153656,0.1577623963275013,0.1529214345915064,0.1542959656482589,0.1533810346104478,0.1519057567919898,0.1432395111195165,0.1421183961828796,0.1350806929514097,0.1776348315153656,0.124362670388183,0.1222040618264017,0.1471145612356985,0.1529214345915064,0.1067565616141642,0.104672224066535,0.1287703974820051
LVP_0030,1,1,DEV_POS,LVP,brown cube,,,ORIGINAL,0.5699864391988918,0.5699864391988918,0.5699864391988918,0.5699864391988918,0.5532430786978697,0.400772700467233,0.2699994501918507,0.1928567501370362,0.5364997181968477,0.0958319440059597,0.0,0.0,0.5699864391988918,0.5473584055420595,0.5292057435649038,0.5009857148952405,0.400772700467233,0.3774072104266683,0.3626704201695309,0.3484258710732105
LVP_0053,1,1,HELDOUT_POS,LVP,yellow cube,,,ORIGINAL,0.1891629195147006,0.2524215597757836,0.1891629195147006,0.2524215597757836,0.2001317111907663,0.1963442306984066,0.1799283516385815,0.176221684976332,0.1888078524142412,0.1887692697136873,0.1287351682912419,0.0814884768656327,0.2524215597757836,0.2290790929462911,0.2241523891424305,0.2289202421414865,0.1963442306984066,0.1529813838397582,0.1273834275464149,0.1648012192507461
LVP_0054,1,1,HELDOUT_POS,LVP,yellow cube,,,ORIGINAL,0.2179535327594159,0.2381449860656305,0.2179535327594159,0.2381449860656305,0.2146668947910718,0.2037612779583232,0.182938462700626,0.1836817710997282,0.191188803516513,0.1819500442928259,0.1488274923371034,0.1256049525951911,0.2381449860656305,0.1846085493772506,0.1647493959570031,0.1864420470154134,0.2037612779583232,0.1638753000611476,0.1426374945518273,0.158475046881263
LVP_0055,1,1,HELDOUT_POS,LVP,yellow cube,,,ORIGINAL,0.2875011375946284,0.2875011375946284,0.2875011375946284,0.2875011375946284,0.2803961439332696,0.2417221177175974,0.2019126789755234,0.1787739507423187,0.2732911502719107,0.164374065286253,0.1216911395100133,0.1091745591828652,0.2875011375946284,0.2521673169378085,0.2388253534686975,0.2748692774191175,0.2417221177175974,0.1989845728518894,0.1750940890779977,0.217244275088174
LVP_0056,1,1,HELDOUT_POS,LVP,yellow cube,,,ORIGINAL,0.0,0.2191705380283143,0.0,0.2191705380283143,0.2143857231329592,0.1970700981493356,0.1792366109906831,0.1656230156807029,0.2096009082376042,0.1624388481820882,0.143895678572188,0.1196651384893982,0.2191705380283143,0.1449701366501965,0.1330443558412462,0.1426237649961526,0.1970700981493356,0.1292574488258565,0.1125243866122659,0.1304815162026929
Cosmos3_seed102_0006,0,1,HELDOUT_POS,Cosmos3_seed102,brown paper cup,DEFORMATION,HIGH,HUMAN_REAUDIT_2026_09_02,0.0,0.4077306072038625,0.0,0.4077306072038625,0.4007408802523,0.3898558715789726,0.3810820736353955,0.3718885305300184,0.3983769545171299,0.3730792691606223,0.3592030388116078,0.3486815697726845,0.4077306072038625,0.1850270582362813,0.1804418879105629,0.0707137287011522,0.3898558715789726,0.1771048035821811,0.1728342660651942,0.0675657135617226
Cosmos3_seed102_0008,1,1,HELDOUT_POS,Cosmos3_seed102,brown paper cup,OBJECT_DUPLICATION,HIGH,HUMAN_REAUDIT_2026_09_02,0.0,0.3631502699759195,0.0,0.3631502699759195,0.3448356553371772,0.3330964326872832,0.302286642181434,0.279693856620971,0.3265210406984349,0.3096179873874951,0.2343039898536854,0.2111696021631462,0.3631502699759195,0.2078216214143199,0.1945427915206118,0.1096369359862443,0.3330964326872832,0.1893457269666178,0.1761121959119193,0.0999790587123749
Cosmos3_seed102_0010,1,1,HELDOUT_POS,Cosmos3_seed102,white cup,OBJECT_DUPLICATION,HIGH,HUMAN_REAUDIT_2026_09_02,0.0,0.4436212147719413,0.0,0.4436212147719413,0.4407244751859782,0.4405418720293921,0.4267988412132327,0.4215068999166781,0.437827735600015,0.437827735600015,0.4012502995462025,0.3998635677383441,0.4436212147719413,0.2165653647376557,0.1986489240790986,0.1026460640142188,0.4405418720293921,0.2151404643747805,0.1974935030727684,0.1017994399277185
Cosmos3_seed102_0062,0,1,HELDOUT_POS,Cosmos3_seed102,brown cup,SPONTANEOUS_OBJECT_APPEARANCE,HIGH,HUMAN_REAUDIT_2026_09_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed102_0064,0,1,HELDOUT_POS,Cosmos3_seed102,white cube,SPONTANEOUS_OBJECT_APPEARANCE,HIGH,HUMAN_REAUDIT_2026_09_02,0.1610638839434632,0.1610638839434632,0.1610638839434632,0.1610638839434632,0.1581579629931695,0.1479328412298669,0.1417041057884538,0.1356009719770986,0.1552520420428758,0.1274825977032616,0.1233577623645583,0.1184380068746282,0.1610638839434632,0.1319145749313666,0.111279978534631,0.1547612406668392,0.1479328412298669,0.1208099360301695,0.1016757327328187,0.141005160606898
Cosmos3_seed103_0006,0,1,HELDOUT_POS,Cosmos3_seed103,brown paper cup,DEFORMATION,HIGH,HUMAN_REAUDIT_2026_09_02,0.0,0.4031048059874701,0.148638891818095,0.4031048059874701,0.393368615588314,0.3880847936217251,0.3823542146406305,0.3794639093102591,0.3907501315763905,0.3775171496885476,0.3687458030355452,0.3665446026273547,0.4031048059874701,0.1826344021199726,0.1770756265311815,0.0696080536815647,0.3880847936217251,0.1746214648141253,0.1695512371113562,0.0671133350888446
Cosmos3_seed103_0010,1,1,HELDOUT_POS,Cosmos3_seed103,white cup,OBJECT_DUPLICATION,HIGH,HUMAN_REAUDIT_2026_09_02,0.1706922385562942,0.4136870960423821,0.2463535761994011,0.4136870960423821,0.404837595189977,0.4038555235404065,0.4019600820243564,0.3928661997870765,0.4042880768509196,0.4018913802412657,0.3937757251495171,0.3683314742665468,0.4136870960423821,0.2025181691124737,0.1860339078762605,0.1322713102542705,0.4038555235404065,0.1972551913361147,0.1810010743285041,0.1025145964643319
Cosmos3_seed103_0012,1,1,HELDOUT_POS,Cosmos3_seed103,white cup,PART_DUPLICATION,HIGH,HUMAN_REAUDIT_2026_09_02,0.0,0.397988644640135,0.0,0.397988644640135,0.376899164262,0.3699143713330071,0.3646394687288244,0.3595915678780412,0.3565579382705321,0.3565579382705321,0.3396364676359891,0.3381339476183012,0.397988644640135,0.2157969382588155,0.1976705214671918,0.1074187943460798,0.3699143713330071,0.2003582339385959,0.1832002872124494,0.1000271237523181
Cosmos3_seed103_0013,1,1,HELDOUT_POS,Cosmos3_seed103,white cup,OBJECT_DUPLICATION,MEDIUM,HUMAN_REAUDIT_2026_09_02,0.0447658288919634,0.0447658288919634,0.0447658288919634,0.0447658288919634,0.0438636631276549,0.0414563017682474,0.0248737810609484,0.017766986472106,0.0429614973633464,0.0366415790494325,0.0,0.0,0.0447658288919634,0.0325165545683884,0.0303272723436414,0.0427130113160649,0.0414563017682474,0.0301108044070569,0.0281115678111328,0.0396139223016828
Cosmos3_seed103_0058,0,1,HELDOUT_POS,Cosmos3_seed103,white cup,DEFORMATION,HIGH,HUMAN_REAUDIT_2026_09_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed103_0062,0,1,HELDOUT_POS,Cosmos3_seed103,brown cup,DEFORMATION,HIGH,HUMAN_REAUDIT_2026_09_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed103_0064,0,1,HELDOUT_POS,Cosmos3_seed103,white cube,SPONTANEOUS_OBJECT_APPEARANCE,HIGH,HUMAN_REAUDIT_2026_09_02,0.1607888866659449,0.1607888866659449,0.1607888866659449,0.1607888866659449,0.152617648615986,0.1494593314611,0.1460591639329759,0.1402047747971325,0.1471998892576619,0.1411689734394699,0.1296082059442627,0.1227645408481966,0.1607888866659449,0.1226898150925912,0.1045109866677153,0.1350336825019108,0.1494593314611,0.1146143228421279,0.0975152687680117,0.1278116701368199
Cosmos2.5_0036,0,0,DEV_NEG,Cosmos2.5,white tape roll,,,ORIGINAL,0.1350343953022846,0.1427006547015437,0.1350343953022846,0.1427006547015437,0.1150886597116276,0.1000500916732844,0.0781671997991757,0.0726750086447385,0.0874766647217114,0.069972955596598,0.0395820118221476,0.0234838185063797,0.1427006547015437,0.1023148467307253,0.0978097476456797,0.0859396397117174,0.1000500916732844,0.0703296822539442,0.068116654247537,0.0635740899138429
Cosmos2.5_0057,0,0,DEV_NEG,Cosmos2.5,yellow cube,,,ORIGINAL,0.213055989165797,0.2294352083235063,0.213055989165797,0.2294352083235063,0.2201807359136507,0.2160966248513749,0.206831403347163,0.203865853314963,0.2109262635037951,0.2079284027268235,0.1927115236499237,0.1863210593121178,0.2294352083235063,0.1655547676459515,0.1377423436110528,0.191879327182528,0.2160966248513749,0.1472074798719792,0.1312197058234432,0.1791816461841347
Cosmos3_seed101_0039,0,0,DEV_NEG,Cosmos3_seed101,brown cube,,,ORIGINAL,0.2459069697109728,0.6373723310922651,0.6373723310922651,0.6373723310922651,0.6245823732746038,0.609876232471177,0.6032835015947251,0.5265110159580045,0.6117924154569425,0.5804639508643231,0.570003996712784,0.2219818083903915,0.6373723310922651,0.5019599373810278,0.4799644862395483,0.4819712517423571,0.609876232471177,0.4832443607106629,0.4703762299707972,0.4711159137443563
Cosmos3_seed101_0049,0,0,DEV_NEG,Cosmos3_seed101,yellow banana,,,ORIGINAL,0.1658523010243475,0.1905284135639587,0.1658523010243475,0.1905284135639587,0.1527415324629171,0.146137370204314,0.14224602034671,0.1130066377058065,0.1396307639014868,0.1329290456871078,0.1325885667641984,0.0384508174705983,0.1905284135639587,0.151230270019045,0.1396578234836728,0.1521200760338565,0.146137370204314,0.0969367326373253,0.0780734530510691,0.0762173111200246
LVP_0062,0,0,DEV_NEG,LVP,brown cup,,,ORIGINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVP_0043,0,0,DEV_NEG,LVP,button,,,ORIGINAL,0.0855472011411203,0.0855472011411203,0.0855472011411203,0.0855472011411203,0.0810236914823081,0.0791673657216004,0.0751086936161735,0.0739245201384033,0.0765001818234958,0.0754547142001852,0.0675012304040435,0.0675012304040435,0.0855472011411203,0.0120119612078165,0.0119377709110013,0.0008211314041267,0.0791673657216004,0.0111572315628131,0.01111256023449,0.000764337138809
Cosmos3_seed102_0000,0,0,HELDOUT_NEG,Cosmos3_seed102,drawer,,,ORIGINAL,0.1587765484208322,0.1925085139895865,0.1587765484208322,0.1925085139895865,0.1597858916429269,0.1552313324694051,0.1446338223146759,0.1463598625865218,0.1566655801830433,0.1432496779455287,0.1291101933803011,0.1228923579402084,0.1925085139895865,0.1696948732525647,0.156796282097736,0.1422995816692197,0.1552313324694051,0.1202875457348148,0.1030167194037266,0.0902977159467535
Cosmos3_seed102_0001,0,0,HELDOUT_NEG,Cosmos3_seed102,drawer,,,ORIGINAL,0.1463343522007744,0.2211945813738803,0.1463343522007744,0.2211945813738803,0.2143013653625057,0.2110361092210185,0.2063927410261692,0.2041416121644868,0.2074081493511311,0.2045055969380442,0.1798136701848382,0.1798136701848382,0.2211945813738803,0.1711200068233787,0.13349726054847,0.0994131615624145,0.2110361092210185,0.1629821136030668,0.126848857718592,0.0952651525803923
Cosmos3_seed102_0002,0,0,HELDOUT_NEG,Cosmos3_seed102,drawer,,,ORIGINAL,0.1801596793233327,0.1801596793233327,0.1801596793233327,0.1801596793233327,0.1649995525660664,0.1617273699106583,0.1563033040129359,0.1536520242280814,0.1611281301827034,0.1551830045998421,0.1480374365462147,0.144134548447301,0.1801596793233327,0.132845301801885,0.1167900994065764,0.1105704409736128,0.1617273699106583,0.1284933223570104,0.1130855204048094,0.0985458641315015
Cosmos3_seed102_0003,0,0,HELDOUT_NEG,Cosmos3_seed102,yellow cube,,,ORIGINAL,0.260892752487129,0.260892752487129,0.260892752487129,0.260892752487129,0.2517898836868781,0.2367230012901684,0.2264364599536942,0.2071070947021536,0.2426870148866273,0.206589236496749,0.2031412737817091,0.1684624751494754,0.260892752487129,0.1379295607372356,0.1365365168652929,0.1190851003448568,0.2367230012901684,0.1243270092057671,0.1232404697987507,0.0931477612732541
Cosmos3_seed102_0004,0,0,HELDOUT_NEG,Cosmos3_seed102,yellow cube,,,ORIGINAL,0.2680563538623829,0.2680563538623829,0.2680563538623829,0.2680563538623829,0.2377420774291184,0.2163969729256551,0.2128896840482645,0.2095034255056418,0.2367376255841118,0.1959058434401185,0.1737067639187288,0.1603600238082634,0.2680563538623829,0.2016920451563711,0.170596150141763,0.2613694816944493,0.2163969729256551,0.1514553311321304,0.1363446815608298,0.1672901565187989
Cosmos3_seed102_0007,0,0,HELDOUT_NEG,Cosmos3_seed102,white cube,,,ORIGINAL,0.1413585692400307,0.2342311569298854,0.2342311569298854,0.2342311569298854,0.1578622662156043,0.1525558261267769,0.1420259842961915,0.1405179722640724,0.1503872977811662,0.1494533106782872,0.1253676342656482,0.1253676342656482,0.2342311569298854,0.1315933976021653,0.121691052462824,0.1559128338827823,0.1525558261267769,0.127371819835942,0.1106715501621827,0.145154050992444
Cosmos3_seed102_0009,0,0,HELDOUT_NEG,Cosmos3_seed102,brown paper cup,,,ORIGINAL,0.0,0.3997162286188232,0.0,0.3997162286188232,0.3873524025186399,0.3727349550784483,0.3637460191574823,0.3579804475139756,0.3808197516296238,0.3435000601980652,0.3404885954262594,0.3184010015933113,0.3997162286188232,0.2048823568959919,0.1983282922796143,0.0986179175167545,0.3727349550784483,0.1974120318112197,0.1900948237258196,0.0951440773772522
Cosmos3_seed102_0011,0,0,HELDOUT_NEG,Cosmos3_seed102,white cup,,,ORIGINAL,0.0,0.3422165728516944,0.0,0.3422165728516944,0.3397429484004105,0.3358352687910988,0.3340832345689849,0.3338921895433923,0.3392433430290952,0.324612581107127,0.3159361156860825,0.3159361156860825,0.3422165728516944,0.1491402088693208,0.1270611813146377,0.0598831442005618,0.3358352687910988,0.144883459977547,0.1232940770481512,0.0583031858062622
Cosmos3_seed103_0000,0,0,HELDOUT_NEG,Cosmos3_seed103,drawer,,,ORIGINAL,0.1614378666730023,0.2537262699126683,0.2537262699126683,0.2537262699126683,0.2135458360742127,0.1961765129404759,0.1790559906133689,0.1714327667355704,0.1733654022357571,0.1614378666730023,0.1456344803123201,0.1456344803123201,0.2537262699126683,0.1628883151568105,0.1614814722198645,0.1677924879464005,0.1961765129404759,0.1387117866207549,0.1206412001356482,0.0981096480166613
Cosmos3_seed103_0001,0,0,HELDOUT_NEG,Cosmos3_seed103,drawer,,,ORIGINAL,0.1461525840382708,0.185807205452428,0.1461525840382708,0.185807205452428,0.1827824563604153,0.1757137467013323,0.174593965648372,0.1693763461062853,0.1814692135804247,0.1677182053553674,0.1677182053553674,0.153177960330017,0.185807205452428,0.1392071364767194,0.1194135043949231,0.0972438937404264,0.1757137467013323,0.1308847731567667,0.1125575944437357,0.0951035939477869
Cosmos3_seed103_0002,0,0,HELDOUT_NEG,Cosmos3_seed103,drawer,,,ORIGINAL,0.1432857361763771,0.2175951939749742,0.2175951939749742,0.2175951939749742,0.1874697309007766,0.1811445778258025,0.1740627183674486,0.1673510637693935,0.1780728982396858,0.1695549089775575,0.1592879668175051,0.1435202154925057,0.2175951939749742,0.1893238929707227,0.1868825715592171,0.2020370830159005,0.1811445778258025,0.1446562410714734,0.1264154188083118,0.1110854738016098
Cosmos3_seed103_0003,0,0,HELDOUT_NEG,Cosmos3_seed103,yellow cube,,,ORIGINAL,0.1980076353869481,0.1980076353869481,0.1980076353869481,0.1980076353869481,0.1882892058845174,0.1844531170887629,0.1711085724779792,0.1633739829416739,0.1785707763820868,0.1767809394972538,0.1405754605067562,0.1337770381543912,0.1980076353869481,0.1186423277134147,0.1104916821283229,0.1331380442354364,0.1844531170887629,0.1115418616813825,0.1057617238077778,0.110194608121897
Cosmos3_seed103_0004,0,0,HELDOUT_NEG,Cosmos3_seed103,yellow cube,,,ORIGINAL,0.2728578802700648,0.2728578802700648,0.2728578802700648,0.2728578802700648,0.191132538746925,0.1749333716159175,0.1604889905639675,0.1499569525571385,0.1632958558863992,0.1632958558863992,0.1345234504021898,0.1237231006548562,0.2728578802700648,0.1895878238543818,0.179790096171247,0.2559892260668178,0.1749333716159175,0.1126194461021145,0.1092241873547217,0.1592220465206976
Cosmos3_seed103_0007,0,0,HELDOUT_NEG,Cosmos3_seed103,white cube,,,ORIGINAL,0.1997507482819556,0.1997507482819556,0.1997507482819556,0.1997507482819556,0.1906387359544784,0.185565128184392,0.1769436273457293,0.1774769649695714,0.1902485931882081,0.1684713280356782,0.1530646784467236,0.144412873259611,0.1997507482819556,0.1725703476938746,0.1549836601823345,0.1892077410621928,0.185565128184392,0.1563624562561606,0.1404444593447915,0.1614864309841846
Cosmos3_seed103_0008,0,0,HELDOUT_NEG,Cosmos3_seed103,brown paper cup,,,ORIGINAL,0.0,0.3716980602951747,0.2235884111833939,0.3716980602951747,0.3588953978485776,0.3538596572202746,0.3453887648979031,0.342102194718053,0.3510204602795914,0.3437881759636686,0.3251591185779076,0.3205428900334389,0.3716980602951747,0.2101341945484606,0.1942120595872609,0.1112331742760703,0.3538596572202746,0.2000278796385275,0.1847276921195903,0.1059478507482164
Cosmos3_seed103_0009,0,0,HELDOUT_NEG,Cosmos3_seed103,brown paper cup,,,ORIGINAL,0.1200117710381317,0.3196663233564736,0.125395102000083,0.3196663233564736,0.3190769497181444,0.3177830898144518,0.313490792635102,0.3031661562990786,0.3184875760798152,0.3151953700070669,0.305488370198294,0.2749828851121734,0.3196663233564736,0.1295689219219195,0.1225927930891023,0.0628273824039448,0.3177830898144518,0.1286415030604719,0.1216194435971997,0.058070550469222
Cosmos3_seed103_0011,0,0,HELDOUT_NEG,Cosmos3_seed103,white cup,,,ORIGINAL,0.0,0.3177719606122305,0.0,0.3177719606122305,0.3042494143366461,0.3014776443863282,0.30071996986526,0.2962368638634444,0.3004509038886608,0.2959341044856922,0.2959341044856922,0.2828349433828264,0.3177719606122305,0.1214126674888272,0.1103584485228484,0.0974454091525707,0.3014776443863282,0.118930914208467,0.1080968403787301,0.0517010720306799
