case,label,dataset,eval_split,revised_category,base_peak,base_mean3,size_peak,size_mean3,strict_size_peak,strict_size_mean3,base_spatial_peak,base_spatial_mean3,size_spatial_peak,size_spatial_mean3,strict_size_spatial_peak,strict_size_spatial_mean3
Cosmos3_seed101_0054,1,Cosmos3_seed101,HELDOUT_POS,,0.4342529037633879,0.4135092812904874,0.3432124597482518,0.3337678933507114,0.3305742197035565,0.3229898768272265,0.4342529037633879,0.4135092812904874,0.3432124597482518,0.3337678933507114,0.3305742197035565,0.3229898768272265
Cosmos3_seed101_0055,1,Cosmos3_seed101,HELDOUT_POS,,0.4646017669977897,0.4568852709702713,0.3666784335845693,0.3599376202255713,0.3493647084153684,0.34251399975163,0.4646017669977897,0.4568852709702713,0.3666784335845693,0.3599376202255713,0.3493647084153684,0.34251399975163
Cosmos3_seed101_0065,1,Cosmos3_seed101,HELDOUT_POS,,0.5079523440489291,0.493687784475721,0.4910087985251806,0.47673343268458085,0.4842964822350464,0.46968227696630943,0.5079523440489291,0.493687784475721,0.4910087985251806,0.47673343268458085,0.4842964822350464,0.46968227696630943
LVP_0004,1,LVP,DEV_POS,,0.1776348315153656,0.1529214345915064,0.124362670388183,0.10675656161416419,0.1222040618264017,0.10467222406653498,0.1776348315153656,0.1529214345915064,0.124362670388183,0.1067565616141642,0.1222040618264017,0.10467222406653497
LVP_0030,1,LVP,DEV_POS,,0.5699864391988918,0.40077270046723307,0.5473584055420595,0.3774072104266684,0.5292057435649038,0.36267042016953094,0.5699864391988918,0.3688287191319131,0.5473584055420595,0.35259492260545694,0.5292057435649038,0.3411972768043494
LVP_0053,1,LVP,HELDOUT_POS,,0.2524215597757836,0.1963442306984066,0.2290790929462911,0.1529813838397582,0.2241523891424305,0.12738342754641493,0.2524215597757836,0.1963442306984066,0.2290790929462911,0.1529813838397582,0.2241523891424305,0.12738342754641493
LVP_0054,1,LVP,HELDOUT_POS,,0.2381449860656305,0.20376127795832313,0.1846085493772506,0.16387530006114762,0.1647493959570031,0.14263749455182728,0.2381449860656305,0.20376127795832313,0.1846085493772506,0.16387530006114762,0.1647493959570031,0.14263749455182728
LVP_0055,1,LVP,HELDOUT_POS,,0.2875011375946284,0.2417221177175974,0.2521673169378085,0.1989845728518894,0.2388253534686975,0.17509408907799762,0.2875011375946284,0.2417221177175974,0.2521673169378085,0.1989845728518894,0.2388253534686975,0.17509408907799762
LVP_0056,1,LVP,HELDOUT_POS,,0.2191705380283143,0.19707009814933554,0.1449701366501965,0.12925744882585652,0.1330443558412462,0.1125243866122659,0.2191705380283143,0.19707009814933554,0.1449701366501965,0.12925744882585652,0.1330443558412462,0.1125243866122659
Cosmos3_seed102_0006,0,Cosmos3_seed102,HELDOUT_POS,DEFORMATION,0.4077306072038625,0.38985587157897267,0.1850270582362813,0.17710480358218106,0.1804418879105629,0.17283426606519417,0.4077306072038625,0.38985587157897267,0.1850270582362813,0.17710480358218106,0.1804418879105629,0.17283426606519417
Cosmos3_seed102_0008,1,Cosmos3_seed102,HELDOUT_POS,OBJECT_DUPLICATION,0.3631502699759195,0.3330964326872832,0.2078216214143199,0.18934572696661778,0.1945427915206118,0.17611219591191926,0.3631502699759195,0.3330964326872832,0.2078216214143199,0.18934572696661778,0.1945427915206118,0.17611219591191926
Cosmos3_seed102_0010,1,Cosmos3_seed102,HELDOUT_POS,OBJECT_DUPLICATION,0.4436212147719413,0.44054187202939216,0.2165653647376557,0.21514046437478043,0.1986489240790986,0.19749350307276844,0.4436212147719413,0.44054187202939216,0.2165653647376557,0.21514046437478043,0.1986489240790986,0.19749350307276844
Cosmos3_seed102_0062,0,Cosmos3_seed102,HELDOUT_POS,SPONTANEOUS_OBJECT_APPEARANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed102_0064,0,Cosmos3_seed102,HELDOUT_POS,SPONTANEOUS_OBJECT_APPEARANCE,0.1610638839434632,0.14793284122986686,0.1319145749313666,0.12080993603016954,0.111279978534631,0.1016757327328187,0.1610638839434632,0.14793284122986686,0.1319145749313666,0.12080993603016954,0.111279978534631,0.1016757327328187
Cosmos3_seed103_0006,0,Cosmos3_seed103,HELDOUT_POS,DEFORMATION,0.4031048059874701,0.38808479362172515,0.1826344021199726,0.17462146481412524,0.1770756265311815,0.1695512371113562,0.4031048059874701,0.38808479362172515,0.1826344021199726,0.17462146481412524,0.1770756265311815,0.1695512371113562
Cosmos3_seed103_0010,1,Cosmos3_seed103,HELDOUT_POS,OBJECT_DUPLICATION,0.4136870960423821,0.4038555235404065,0.2025181691124737,0.19725519133611472,0.1860339078762605,0.18100107432850418,0.4136870960423821,0.4038555235404065,0.2025181691124737,0.19725519133611472,0.1860339078762605,0.18100107432850418
Cosmos3_seed103_0012,1,Cosmos3_seed103,HELDOUT_POS,PART_DUPLICATION,0.397988644640135,0.3699143713330071,0.2157969382588155,0.2003582339385959,0.1976705214671918,0.1832002872124494,0.397988644640135,0.3699143713330071,0.2157969382588155,0.2003582339385959,0.1976705214671918,0.1832002872124494
Cosmos3_seed103_0013,1,Cosmos3_seed103,HELDOUT_POS,OBJECT_DUPLICATION,0.0447658288919634,0.04145630176824743,0.0325165545683884,0.030110804407056966,0.0303272723436414,0.02811156781113283,0.0447658288919634,0.04145630176824743,0.0325165545683884,0.030110804407056966,0.0303272723436414,0.02811156781113283
Cosmos3_seed103_0058,0,Cosmos3_seed103,HELDOUT_POS,DEFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed103_0062,0,Cosmos3_seed103,HELDOUT_POS,DEFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed103_0064,0,Cosmos3_seed103,HELDOUT_POS,SPONTANEOUS_OBJECT_APPEARANCE,0.1607888866659449,0.14945933146110005,0.1226898150925912,0.11461432284212784,0.1045109866677153,0.09751526876801166,0.1607888866659449,0.14945933146110002,0.1226898150925912,0.11461432284212782,0.1045109866677153,0.09625591834414489
Cosmos2.5_0036,0,Cosmos2.5,DEV_NEG,,0.1427006547015437,0.10005009167328437,0.1023148467307253,0.07032968225394413,0.0978097476456797,0.06811665424753698,0.1350343953022846,0.0912740664209289,0.0659693501369624,0.047254088396603,0.0610537568579693,0.0404076468028606
Cosmos2.5_0057,0,Cosmos2.5,DEV_NEG,,0.2294352083235063,0.21609662485137496,0.1655547676459515,0.1472074798719792,0.1377423436110528,0.1312197058234431,0.2294352083235063,0.21609662485137496,0.1655547676459515,0.1472074798719792,0.1377423436110528,0.1312197058234431
Cosmos3_seed101_0039,0,Cosmos3_seed101,DEV_NEG,,0.6373723310922651,0.609876232471177,0.5019599373810278,0.48324436071066296,0.4799644862395483,0.47037622997079714,0.2459069697109728,0.2310638061715119,0.1955542404771551,0.17470225760433675,0.1752052652480229,0.15196974905302016
Cosmos3_seed101_0049,0,Cosmos3_seed101,DEV_NEG,,0.1905284135639587,0.14613737020431403,0.151230270019045,0.09693673263732537,0.1396578234836728,0.07807345305106912,0.1905284135639587,0.14613737020431403,0.151230270019045,0.09693673263732537,0.1396578234836728,0.07807345305106912
LVP_0062,0,LVP,DEV_NEG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVP_0043,0,LVP,DEV_NEG,,0.0855472011411203,0.07916736572160044,0.0120119612078165,0.011157231562813065,0.0119377709110013,0.011112560234489999,0.0855472011411203,0.07916736572160044,0.0120119612078165,0.011157231562813069,0.0119377709110013,0.011112560234489999
Cosmos3_seed102_0000,0,Cosmos3_seed102,HELDOUT_NEG,,0.1925085139895865,0.15523133246940504,0.1696948732525647,0.12028754573481482,0.156796282097736,0.10301671940372663,0.1595619133923446,0.14941099153431484,0.1135718018150908,0.10616601366580387,0.0911713566710803,0.0852862629233586
Cosmos3_seed102_0001,0,Cosmos3_seed102,HELDOUT_NEG,,0.2211945813738803,0.21103610922101854,0.1711200068233787,0.1629821136030668,0.13349726054847,0.12684885771859203,0.1463343522007744,0.12750755581801018,0.0939447030223725,0.08587746256236456,0.0763127868770613,0.07218973672369877
Cosmos3_seed102_0002,0,Cosmos3_seed102,HELDOUT_NEG,,0.1801596793233327,0.1617273699106583,0.132845301801885,0.12849332235701036,0.1167900994065764,0.11308552040480936,0.1801596793233327,0.15870947063957133,0.1262948054908297,0.1102640553538743,0.0973945425860492,0.0830885058646969
Cosmos3_seed102_0003,0,Cosmos3_seed102,HELDOUT_NEG,,0.260892752487129,0.23672300129016843,0.1379295607372356,0.12432700920576706,0.1365365168652929,0.12324046979875077,0.260892752487129,0.23672300129016843,0.1379295607372356,0.12432700920576706,0.1365365168652929,0.12324046979875075
Cosmos3_seed102_0004,0,Cosmos3_seed102,HELDOUT_NEG,,0.2680563538623829,0.21639697292565516,0.2016920451563711,0.1514553311321304,0.170596150141763,0.1363446815608298,0.2680563538623829,0.21639697292565516,0.2016920451563711,0.15145533113213042,0.170596150141763,0.1363446815608298
Cosmos3_seed102_0007,0,Cosmos3_seed102,HELDOUT_NEG,,0.2342311569298854,0.1525558261267769,0.1315933976021653,0.12737181983594204,0.121691052462824,0.1106715501621827,0.1578268699208773,0.1525558261267769,0.1315933976021653,0.12737181983594204,0.121691052462824,0.1106715501621827
Cosmos3_seed102_0009,0,Cosmos3_seed102,HELDOUT_NEG,,0.3997162286188232,0.3727349550784483,0.2048823568959919,0.19741203181121966,0.1983282922796143,0.19009482372581965,0.3560658413441584,0.29758536450210055,0.1997410180414081,0.16238264756984466,0.1819194694522608,0.14849538902209639
Cosmos3_seed102_0011,0,Cosmos3_seed102,HELDOUT_NEG,,0.3422165728516944,0.3358352687910988,0.1491402088693208,0.14488345997754706,0.1270611813146377,0.12329407704815121,0.3301119627913716,0.3107588663967416,0.1297700725861326,0.1223386120771815,0.1163760911497128,0.11033308827286821
Cosmos3_seed103_0000,0,Cosmos3_seed103,HELDOUT_NEG,,0.2537262699126683,0.19617651294047592,0.1628883151568105,0.13871178662075487,0.1614814722198645,0.1206412001356482,0.1614378666730023,0.13112705350093898,0.1113753841027027,0.09134636103091492,0.0902337054286067,0.07418035983668567
Cosmos3_seed103_0001,0,Cosmos3_seed103,HELDOUT_NEG,,0.185807205452428,0.1757137467013323,0.1392071364767194,0.1308847731567667,0.1194135043949231,0.11255759444373563,0.1461525840382708,0.1300689367870075,0.1038082721272129,0.09278526425698796,0.0875381838682586,0.07811101287787693
Cosmos3_seed103_0002,0,Cosmos3_seed103,HELDOUT_NEG,,0.2175951939749742,0.18114457782580248,0.1893238929707227,0.14465624107147343,0.1868825715592171,0.1264154188083118,0.1432857361763771,0.13388819075953556,0.0989432389666862,0.09170126420661896,0.0792692522896045,0.07325355381723303
Cosmos3_seed103_0003,0,Cosmos3_seed103,HELDOUT_NEG,,0.1980076353869481,0.18445311708876289,0.1186423277134147,0.11154186168138251,0.1104916821283229,0.10576172380777776,0.1980076353869481,0.18445311708876289,0.1186423277134147,0.11154186168138251,0.1104916821283229,0.10576172380777776
Cosmos3_seed103_0004,0,Cosmos3_seed103,HELDOUT_NEG,,0.2728578802700648,0.17493337161591746,0.1895878238543818,0.11261944610211444,0.179790096171247,0.10922418735472167,0.2728578802700648,0.17493337161591746,0.1895878238543818,0.11261944610211444,0.179790096171247,0.10922418735472167
Cosmos3_seed103_0007,0,Cosmos3_seed103,HELDOUT_NEG,,0.1997507482819556,0.185565128184392,0.1725703476938746,0.15636245625616063,0.1549836601823345,0.14044445934479152,0.1997507482819556,0.185565128184392,0.1725703476938746,0.15636245625616063,0.1549836601823345,0.14044445934479152
Cosmos3_seed103_0008,0,Cosmos3_seed103,HELDOUT_NEG,,0.3716980602951747,0.35385965722027457,0.2101341945484606,0.20002787963852744,0.1942120595872609,0.1847276921195903,0.3716980602951747,0.35385965722027457,0.2101341945484606,0.20002787963852744,0.1942120595872609,0.1847276921195903
Cosmos3_seed103_0009,0,Cosmos3_seed103,HELDOUT_NEG,,0.3196663233564736,0.31778308981445186,0.1295689219219195,0.12864150306047192,0.1225927930891023,0.12161944359719971,0.3196663233564736,0.31778308981445186,0.1295689219219195,0.12864150306047192,0.1225927930891023,0.12161944359719971
Cosmos3_seed103_0011,0,Cosmos3_seed103,HELDOUT_NEG,,0.3177719606122305,0.3014776443863281,0.1214126674888272,0.11893091420846696,0.1103584485228484,0.10809684037873007,0.3177719606122305,0.3014776443863281,0.1214126674888272,0.11893091420846696,0.1103584485228484,0.10809684037873007
